,inc0,inc1,incdiff,lats,lngs,pop0,pop1,popdiff
15504,22032624165808.414,19312472520087.375,-2720151645721.039,39.986934661865234,-76.65840911865234,771476667.2316393,959113500.7230768,187636833.49143755
15505,21831105265954.062,21880631365189.902,49526099235.83984,39.986934661865234,-76.63684844970703,636712500.2695653,800863823.2082876,164151322.93872225
15506,5882130385530.312,8360676684852.453,2478546299322.1416,39.986934661865234,-76.61528778076172,165564433.36845747,230682468.92792043,65118035.559462965
15507,3669560960613.8037,4989722292284.856,1320161331671.0527,39.986934661865234,-76.5937271118164,113320530.4538342,138247219.70041236,24926689.246578157
15508,3929450228663.1436,5357657970347.105,1428207741683.962,39.986934661865234,-76.5721664428711,128326453.41438887,128330523.18306671,4069.7686778455973
15509,4235546838473.702,6739832993998.987,2504286155525.285,39.986934661865234,-76.55061340332031,145990693.84581533,140879467.42612374,-5111226.419691592
15510,2753666078448.9844,3810271035508.1904,1056604957059.206,39.986934661865234,-76.529052734375,108380710.05212465,125659234.76580018,17278524.71367553
15511,2489130274484.022,3167930323163.453,678800048679.4312,39.986934661865234,-76.50749206542969,99981460.24492654,119949308.35435605,19967848.10942951
15512,1872312791533.9116,2047097182801.2517,174784391267.3401,39.986934661865234,-76.48593139648438,69045898.87603182,70839001.64465001,1793102.7686181962
15513,1473810011022.5464,1477599578992.598,3789567970.0515137,39.986934661865234,-76.46437072753906,55124414.45731182,53376840.330802076,-1747574.126509741
15514,1284625357060.2043,1217835043475.9626,-66790313584.2417,39.986934661865234,-76.44281005859375,48931014.46371855,46064641.42708651,-2866373.0366320387
15515,1653728221984.7107,1641783644744.2253,-11944577240.485352,39.986934661865234,-76.42125701904297,61202157.15735263,58497601.62167433,-2704555.5356782973
15516,4514536837601.313,4748735044430.901,234198206829.5879,39.986934661865234,-76.39969635009766,150489993.67109337,149107627.36231896,-1382366.3087744117
15517,5925975592067.639,7682217243154.536,1756241651086.8975,39.986934661865234,-76.37813568115234,193281317.3084652,247554109.7879546,54272792.479489386
15518,10863419265858.566,10402351284627.018,-461067981231.5488,39.986934661865234,-76.35657501220703,492461421.89717704,553711154.6944956,61249732.79731852
15519,6303520582183.374,6226633027769.174,-76887554414.2002,39.986934661865234,-76.33501434326172,218223121.65738174,275490711.43012077,57267589.77273902
15520,4988843543940.091,4853394025243.233,-135449518696.85742,39.986934661865234,-76.3134536743164,155882517.64944154,178054510.86297113,22171993.213529587
15521,12044660913739.342,9373024725281.434,-2671636188457.908,39.986934661865234,-76.2918930053711,356358589.50900096,348576871.55955774,-7781717.949443221
15522,20606843419429.527,19700531934744.176,-906311484685.3516,39.986934661865234,-76.27033996582031,572391575.8935204,560527681.6373689,-11863894.256151438
15523,5357754559498.429,6817388501922.868,1459633942424.4395,39.986934661865234,-76.248779296875,165231662.8961266,218593770.6034965,53362107.707369894
15524,5541401531915.079,6875285703597.507,1333884171682.4277,39.986934661865234,-76.22721862792969,174444609.3604363,227778296.5779873,53333687.21755102
15525,6327805751948.433,6659386149541.891,331580397593.458,39.986934661865234,-76.20565795898438,210484503.68722558,237657296.31224117,27172792.625015587
15526,5461466791348.936,4783130653441.727,-678336137907.209,39.986934661865234,-76.18409729003906,178134079.17403126,174002261.327512,-4131817.8465192616
15527,4882104767655.65,4232276890895.716,-649827876759.9346,39.986934661865234,-76.16253662109375,161431862.73042664,155755987.64248878,-5675875.087937862
15528,2507665185549.2915,2660018202300.526,152353016751.23438,39.986934661865234,-76.14097595214844,103028239.75147675,103801443.43033995,773203.6788631976
15529,2281267242030.7544,2481748137099.2183,200480895068.46387,39.986934661865234,-76.11942291259766,96581382.56597815,97540626.4251962,959243.8592180461
15530,2229909782444.897,2481579863021.633,251670080576.73584,39.986934661865234,-76.09786224365234,97948519.68488382,109623946.1814856,11675426.496601775
15531,2185124336755.195,2481433122321.773,296308785566.5779,39.986934661865234,-76.07630157470703,99140709.59620069,120161010.61302947,21020301.016828775
15532,3355996778163.8066,3404028759476.0347,48031981312.22803,39.986934661865234,-76.05474090576172,145503862.84138003,153317143.00420246,7813280.162822425
15533,3651433193207.5283,3525799564741.547,-125633628465.98145,39.986934661865234,-76.0331802368164,156454838.54973665,156224278.5897909,-230559.95994573832
15534,3901986402218.233,3953396499039.2544,51410096821.021484,39.986934661865234,-76.0116195678711,161302222.7928571,173824750.65898418,12522527.866127074
15535,4312349922680.764,4536444637515.188,224094714834.42432,39.986934661865234,-75.99005889892578,171456936.14598995,195765021.81914863,24308085.673158675
15536,2733893503812.9683,2647527064160.4746,-86366439652.49365,39.986934661865234,-75.968505859375,105727521.60199673,107879226.58574842,2151704.9837516844
15537,2457839746573.686,2324665338523.1895,-133174408050.49658,39.986934661865234,-75.94694519042969,89633435.93670848,83083858.54367776,-6549577.393030718
