,inc0,inc1,incdiff,lats,lngs,pop0,pop1,popdiff
4689,2411959831490.044,1966026186110.935,-445933645379.1089,42.35606002807617,-85.3641586303711,81986998.49241471,83914278.70352574,1927280.211111024
4690,4678271358752.683,3244219599337.73,-1434051759414.9526,42.35606002807617,-85.27792358398438,162929352.6610122,134423711.8920253,-28505640.76898691
4691,10324207544411.799,7984830361819.695,-2339377182592.1035,42.35606002807617,-85.25636291503906,433748282.7675736,399689650.0807346,-34058632.686838984
4692,13465649237839.166,11018579023630.197,-2447070214208.9688,42.35606002807617,-85.23480224609375,582682458.0732548,622973402.3145761,40290944.241321325
4693,8343976906334.086,6332811355015.522,-2011165551318.5635,42.35606002807617,-85.21324157714844,360827417.09191066,360698577.5397406,-128839.55217003822
4694,8163943010148.884,6345973556076.464,-1817969454072.42,42.35606002807617,-85.19168853759766,341896351.91145134,336569019.92003036,-5327331.991420984
4695,10410926557437.871,8087352361226.722,-2323574196211.1494,42.35606002807617,-85.17012786865234,351469579.8376181,330628510.4075012,-20841069.43011689
4696,7029758902013.292,5144980644060.1,-1884778257953.1924,42.35606002807617,-85.14856719970703,239735374.64465708,268175177.2376809,28439802.593023837
4697,3061602074972.3887,2480200438647.2134,-581401636325.1753,42.35606002807617,-85.12700653076172,111603441.97634894,119561363.67972061,7957921.703371674
4698,1978423875129.5947,1694672194379.5322,-283751680750.0625,42.35606002807617,-85.1054458618164,78608009.11983182,81064682.22950715,2456673.109675333
4699,1638413171692.3838,1387489065232.9182,-250924106459.46558,42.35606002807617,-85.0838851928711,59940238.61180238,62093422.77594479,2153184.164142415
4700,1814615274568.9348,1267747116594.5874,-546868157974.3474,42.35606002807617,-84.45865631103516,59997627.22841364,61784246.70475275,1786619.4763391092
4701,1830292253503.273,1279364860174.575,-550927393328.698,42.35606002807617,-84.43710327148438,59703918.34983442,61193716.557701044,1489798.207866624
4702,2157150469074.2065,2110292323849.424,-46858145224.78247,42.35606002807617,-84.00590515136719,54873196.18795603,57870248.243871726,2997052.0559156984
4703,2273115792110.468,2230027247581.6333,-43088544528.83447,42.35606002807617,-83.9843521118164,57254416.010029644,60560656.93455244,3306240.924522795
4704,2397202335603.9424,2317686597011.858,-79515738592.08447,42.35606002807617,-83.9627914428711,60714997.57406706,65360731.15696258,4645733.582895517
4705,2660730613591.757,2503852773895.444,-156877839696.313,42.35606002807617,-83.94123077392578,68064393.20337734,75554868.71960616,7490475.516228825
4706,2731488993744.3906,2553839125326.3906,-177649868418.0,42.35606002807617,-83.91967010498047,70037734.8644756,78292034.78957583,8254299.925100237
4707,3687562702562.4697,4471805011413.235,784242308850.7656,42.35606002807617,-83.89810943603516,75900423.55082078,104709113.20773944,28808689.65691866
4708,4305821325297.978,5712084852024.744,1406263526726.766,42.35606002807617,-83.87654876708984,79691614.33382821,121792091.61083816,42100477.27700995
4709,4288236532526.899,5679995371801.211,1391758839274.312,42.35606002807617,-83.85498809814453,79458756.8845249,121215893.34857206,41757136.46404716
4710,3842920231084.642,4867363182478.501,1024442951393.8589,42.35606002807617,-83.83343505859375,73561887.9570975,106624281.0168192,33062393.059721693
4711,3453578058744.693,4156874972458.8667,703296913714.1738,42.35606002807617,-83.81187438964844,68406227.2485792,93866764.56213872,25460537.313559517
