,fips,values,colors
227,8023,-0.012929079126120986,#a1d99b
228,8025,-0.03821950585528407,#a1d99b
229,8027,0.03739086287167808,#74c476
230,8029,0.0,#ffffff
231,8031,-0.018058898105058688,#a1d99b
232,8033,0.031111372882243117,#74c476
233,8035,-0.007884852373541543,#a1d99b
234,8037,0.005342486353862576,#a1d99b
235,8039,0.01495356757468522,#74c476
236,8041,-0.0153446251388404,#a1d99b
237,8043,-0.01100961543816305,#a1d99b
238,8045,0.0014865132188802057,#a1d99b
239,8047,-0.009638464035102937,#a1d99b
240,8049,0.0,#ffffff
241,8051,-0.021785709218128765,#a1d99b
242,8053,-0.02698591693559879,#a1d99b
243,8055,-0.008060584685584923,#a1d99b
244,8057,-0.0023114028414313622,#a1d99b
245,8059,0.007342200681830908,#a1d99b
246,8061,0.0,#ffffff
247,8063,0.04761845868609034,#74c476
248,8065,0.0,#ffffff
249,8067,0.0,#ffffff
250,8069,0.0,#ffffff
251,8071,0.05075728769146543,#74c476
252,8073,0.021812826283760342,#74c476
253,8075,0.0,#ffffff
254,8077,0.0,#ffffff
255,8079,0.01636704845537272,#74c476
256,8081,-0.046903634339138384,#a1d99b
257,8083,0.020198308787607304,#74c476
258,8085,0.026337735849936865,#74c476
259,8087,0.0,#ffffff
260,8089,0.0,#ffffff
261,8091,0.0,#ffffff
262,8093,0.007752232943354963,#a1d99b
263,8095,0.016951945613802234,#74c476
264,8097,0.0,#ffffff
265,8099,0.008509174404741263,#a1d99b
266,8101,0.0,#ffffff
267,8103,-0.026113441440234184,#a1d99b
268,8105,0.0,#ffffff
269,8107,0.0,#ffffff
270,8109,0.010274071991943414,#74c476
271,8111,0.014499475081626884,#74c476
272,8113,0.0,#ffffff
273,8115,0.024053383231963057,#74c476
274,8117,0.0,#ffffff
275,8119,0.0,#ffffff
276,8121,0.009743301765137774,#a1d99b
277,8123,-9.333488613132602e-05,#a1d99b
278,8125,0.05972949754893434,#74c476
